Region,Prev Year KHM (Cambodian visitors),Prev Year FOR (Foreign visitors),Curr Year KHM (Cambodian visitors),Curr Year FOR (Foreign visitors),Change (%) KHM,Change (%) FOR
Phnom Penh,"9,086,884","2,268,253","9,984,162","1,885,756",9.9,-16.9
Siem Reap Angkor,"2,202,150","1,023,688","3,247,455","955,131",47.5,-6.7
Coastal Zone,"8,800,773","467,576","9,416,300","631,457",7.0,35.0
Preah Sihanouk,"4,334,635","318,491","4,353,738","415,459",0.4,30.4
Eco-tourism Zone,"629,243","40,221","543,519","48,166",-13.6,19.8
Others,"1,800,738","186,317","1,969,994","222,279",9.4,19.3
Total,"22,519,788","3,986,055","25,161,430","3,742,789",11.7,-6.1
