Outbound tourism,2019,2023,2024,2025*,Change (%) 24/23,Change (%) 25*/19,Change (%) 2025*/24
Cambodia Outbound Tourists,"2,038,284","1,819,504","1,845,462","1,357,941",1.4,-33.4,-26.4
International Tourists Departure,"6,222,834","5,254,619","6,379,772","5,377,910",21.4,-13.6,-15.7
