Outbound tourism,2019,2023,2024,2025*,Change (%) 24/23,Change (%) 25*/19,Change (%) 2025*/24
Cambodia Outbound Tourists,"165,784","170,454","166,480","88,833",-2.3,-46.4,-46.6
International Tourists Departure,"588,913","528,486","632,914","407,435",19.8,-30.8,-35.6
