Inbound tourism,2019,2023,2024,2025*,Share (%) 2025*,Change (%) 24/23,Change (%) 25*/19,Change (%) 2025*/24
Air,"4,403,995","1,866,231","2,396,937","2,857,716",51.3,28.4,-35.1,19.2
Phnom Penh Int'l Airport (PNH),"2,071,907","1,365,735","1,752,583","2,114,234",38.0,28.3,2.0,20.6
Siem Reap Angkor Int'l Airport (SAI),"1,665,365","484,742","615,126","672,031",12.1,26.9,-59.6,9.3
Sihanouk Int'l Airport (KOS),"666,723","15,754","29,228","71,451",1.3,85.5,-89.3,144.5
Land and Waterways,"2,206,597","3,587,000","4,303,188","2,712,036",48.7,20.0,22.9,-37.0
Land,"2,049,748","3,520,730","4,218,811","2,622,305",47.1,19.8,27.9,-37.8
Waterways,"156,849","66,270","84,377","89,731",1.6,27.3,-42.8,6.3
Total,"6,610,592","5,453,231","6,700,125","5,569,752",100.0,22.9,-15.7,-16.9
