Country / Region,2024 Total,2025* Holiday,2025* Business,2025* Others,2025* Total,2025* Female,Share (%) 2025*,Change (%) 2025*/24
Ecuador,41,33,11,0,44,25,0.0,7.3
Peru,120,76,4,2,82,42,0.0,-31.7
Uruguay,21,16,0,0,16,9,0.0,-23.8
Venezuela,17,23,4,0,27,15,0.0,58.8
Other America,115,115,43,4,162,64,0.0,40.9
Africa,"1,543","1,417",251,2,"1,670",788,0.4,8.2
North Africa,192,229,35,0,264,120,0.1,37.5
Algeria,37,41,3,0,44,15,0.0,18.9
Morocco,107,92,22,0,114,48,0.0,6.5
Sudan,13,16,1,0,17,7,0.0,30.8
Tunisia,35,80,9,0,89,50,0.0,154.3
Subsaharan Africa,"1,096","1,049",164,2,"1,215",587,0.3,10.9
Cameroon,39,24,9,0,33,18,0.0,-15.4
Ghana,44,30,7,0,37,12,0.0,-15.9
Kenya,91,96,4,0,100,41,0.0,9.9
Liberia,20,2,2,0,4,0,0.0,-80.0
Nigeria,32,9,27,0,36,9,0.0,12.5
South Africa,777,798,112,1,911,477,0.2,17.2
Tanzania,8,12,0,1,13,6,0.0,62.5
Uganda,64,64,0,0,64,15,0.0,0.0
Zimbabwe,21,9,3,0,12,9,0.0,-42.9
Other Africa,255,139,52,0,191,81,0.0,-25.1
Middle East,446,272,69,2,343,106,0.1,-23.1
Bahrain,34,1,1,1,3,0,0.0,-91.2
Egypt,80,59,46,0,105,24,0.0,31.3
Iraq,23,8,6,0,14,7,0.0,-39.1
Jordan,34,34,2,0,36,9,0.0,5.9
Kuwait,40,23,1,1,25,13,0.0,-37.5
Oman,10,6,0,0,6,1,0.0,-40.0
Palestine,11,4,1,0,5,2,0.0,-54.5
Qatar,2,1,0,0,1,1,0.0,-50.0
Saudi Arabia,40,24,1,0,25,7,0.0,-37.5
Syria,16,10,5,0,15,1,0.0,-6.3
United Arab Emirates,24,48,0,0,48,23,0.0,100.0
Yemen,99,12,1,0,13,0,0.0,-86.9
Other Middle East,33,42,5,0,47,18,0.0,42.4
